channel_name,channel_id,stream_url,logo_url,categories,country,is_live
AMG TV,AMGTV.us,https://watchtvs.live/iptv/watch.html?id=AMGTV.us,https://i.imgur.com/m5Anun9.png,family,US,true
AMP 1,AMP1.us,https://watchtvs.live/iptv/watch.html?id=AMP1.us,https://i.imgur.com/3ZhrthD.png,general,US,true
AMP 2,AMP2.us,https://watchtvs.live/iptv/watch.html?id=AMP2.us,https://i.imgur.com/nfur3FR.png,culture,US,true
Andromeda,Andromeda.us,https://watchtvs.live/iptv/watch.html?id=Andromeda.us,https://i.imgur.com/6ot2lmd.png,series,US,true
Anger Management Channel,AngerManagementChannel.us,https://watchtvs.live/iptv/watch.html?id=AngerManagementChannel.us,https://i.imgur.com/VXZgrNy.png,comedy; series,US,true
Animation+,AnimationPlus.us,https://watchtvs.live/iptv/watch.html?id=AnimationPlus.us,https://provider-static.plex.tv/epg/cms/production/d3f6d54b-64cf-44ed-a960-2feb1c4b05c7/US_STVP_AnimationPlus_logo_Color_1500x1000_-_Kai_Schneider.png,animation,US,true
Anime x HIDIVE,AnimexHIDIVE.us,https://watchtvs.live/iptv/watch.html?id=AnimexHIDIVE.us,https://i.imgur.com/v0BlxCa.png,animation,US,true
Antiques Roadshow UK,AntiquesRoadshowUK.us,https://watchtvs.live/iptv/watch.html?id=AntiquesRoadshowUK.us,https://i.imgur.com/rKWLv48.png,series,US,true
Antiques Road Trip,AntiquesRoadTrip.us,https://watchtvs.live/iptv/watch.html?id=AntiquesRoadTrip.us,https://i.imgur.com/kkm7VqV.png,lifestyle,US,true
Apple Valley Channel 180,AppleValleyChannel180.us,https://watchtvs.live/iptv/watch.html?id=AppleValleyChannel180.us,https://i.imgur.com/3h9RkFA.png,legislative,US,true
Are We There Yet?,AreWeThereYet.us,https://watchtvs.live/iptv/watch.html?id=AreWeThereYet.us,https://i.imgur.com/3BJQiHP.png,series,US,true
ARTFLIX Movie Classics,ARTFLIXMovieClassics.us,https://watchtvs.live/iptv/watch.html?id=ARTFLIXMovieClassics.us,https://i.imgur.com/5pOZQB4.png,movies; classic,US,true
ARTN TV,ARTNTV.us,https://watchtvs.live/iptv/watch.html?id=ARTNTV.us,Logo Not Found,general,US,true
AsianCrush,AsianCrush.us,https://watchtvs.live/iptv/watch.html?id=AsianCrush.us,https://i.imgur.com/hW6z1RG.png,entertainment,US,true
Asian Culture TV,AsianCultureTV.us,https://watchtvs.live/iptv/watch.html?id=AsianCultureTV.us,https://i.imgur.com/o1icKZu.png,general,US,true
At Home with Family Handyman,AtHomewithFamilyHandyman.us,https://watchtvs.live/iptv/watch.html?id=AtHomewithFamilyHandyman.us,https://i.imgur.com/WfKlGbX.png,series,US,true
Atlanta Channel,AtlantaChannel.us,https://watchtvs.live/iptv/watch.html?id=AtlantaChannel.us,https://i.imgur.com/MOGQAns.png,general,US,true
ATVSat,ATVSat.us,https://watchtvs.live/iptv/watch.html?id=ATVSat.us,https://i.imgur.com/pwM5txv.png,religious,US,true
ATXN1,ATXN1.us,https://watchtvs.live/iptv/watch.html?id=ATXN1.us,https://i.imgur.com/tSMtDlz.png,legislative,US,true
ATXN2,ATXN2.us,https://watchtvs.live/iptv/watch.html?id=ATXN2.us,https://i.imgur.com/tSMtDlz.png,legislative; general,US,true
ATXN3,ATXN3.us,https://watchtvs.live/iptv/watch.html?id=ATXN3.us,https://i.imgur.com/tSMtDlz.png,general; culture,US,true
Auction Hunters,AuctionHunters.us,https://watchtvs.live/iptv/watch.html?id=AuctionHunters.us,https://i.imgur.com/4SPOVN7.png,series,US,true
AuroraTV,AuroraTV.us,https://watchtvs.live/iptv/watch.html?id=AuroraTV.us,https://i.imgur.com/g8Q1ASR.png,general,US,true
Avang TV,AvangTV.us,https://watchtvs.live/iptv/watch.html?id=AvangTV.us,https://i.imgur.com/3I1n7fO.png,music,US,true
Avatar,Avatar.us,https://watchtvs.live/iptv/watch.html?id=Avatar.us,https://images.pluto.tv/channels/656df599c0fc8800089c75ab/colorLogoPNG.png,kids,US,true
AWE,AWE.us,https://watchtvs.live/iptv/watch.html?id=AWE.us,https://i.imgur.com/OjpCtGj.png,general,US,true
AWE Encore,AWEEncore.us,https://watchtvs.live/iptv/watch.html?id=AWEEncore.us,https://i.imgur.com/0utwZ63.png,general,US,true
AWE International,AWEInternational.us,https://watchtvs.live/iptv/watch.html?id=AWEInternational.us,https://i.imgur.com/VhxtMUQ.png,general,US,true
Ayeneh TV,AyenehTV.us,https://watchtvs.live/iptv/watch.html?id=AyenehTV.us,https://i.imgur.com/F0AevIQ.png,education; culture,US,true
BabyFirst,BabyFirst.us,https://watchtvs.live/iptv/watch.html?id=BabyFirst.us,https://i.imgur.com/WxLHBwu.png,kids,US,true
